ssl_gloss,predicted_include_gloss
Now,Chair
Now,Chair
Now,Chair
Now,wide
Now,Sign
Now,Lamp
Now,Chair
Now,Chair
Now,Science
Now,Chair
Now,low
Now,Chair
Now,Sign
Now,low
Sister,Chair
Sister,Chair
Sister,Chair
Sister,Chair
Sister,Chair
Sister,Chair
Sister,Bird
Sister,Chair
Sister,Bird
Sister,Suit
Sister,Chair
Sister,Suit
Sister,Chair
Sister,Chair
Sister,Chair
Sister,Bird
Sister,Chair
Sister,Bird
Sister,Chair
Sister,Bird
There,T-Shirt
There,Bathroom
There,Paper
There,Paper
There,Paper
There,Bird
There,Paper
There,Bathroom
There,Bathroom
There,Bathroom
There,Paper
There,Paper
There,wide
There,wide
There,Paper
There,Paper
There,War
There,Bathroom
There,Animal
There,Bird
Staying,Animal
Staying,Animal
Staying,Pocket
Staying,Suit
Staying,Court
Staying,Animal
Staying,Election
Staying,Wednesday
Staying,Election
Staying,Fish
Staying,Fish
Staying,Fish
Staying,Animal
Staying,Election
Staying,Animal
Staying,Pocket
Staying,Fish
Staying,Key
Staying,Pocket
Staying,Fish
Tomorrow,Hour
Tomorrow,Science
Tomorrow,Science
Tomorrow,Science
Tomorrow,Hour
Tomorrow,Hour
Tomorrow,Hour
Tomorrow,Hour
Tomorrow,Laptop
Tomorrow,Science
Tomorrow,Actor
Tomorrow,Hour
Tomorrow,Today
Tomorrow,Hour
Tomorrow,Actor
Tomorrow,Hour
Tomorrow,Hour
Tomorrow,Hour
Tomorrow,Hour
Tomorrow,Science
When,Waiter
When,Bird
When,Morning
When,Ball
When,War
When,Bird
When,Chair
When,Chair
When,Morning
When,Bird
When,fast
When,Chair
When,Attack
When,Bird
When,Morning
When,Attack
When,Morning
When,War
When,War
When,Hospital
You,Suit
You,Chair
You,Bathroom
You,Bird
You,Bird
You,Bird
You,Chair
You,Suit
You,Chair
You,Chair
You,Chair
You,Chair
You,Chair
You,Chair
You,Suit
You,Bird
You,Chair
You,Suit
You,Bird
You,Chair
Understand,Chair
Understand,Waiter
Understand,good
Understand,Suit
Understand,Waiter
Understand,Chair
Understand,Ball
Understand,Waiter
Understand,Train
Understand,Train
Understand,Chair
Understand,Train
Understand,Train
Understand,Train
Understand,Ball
Understand,Chair
Understand,Chair
Understand,Ball
Understand,Chair
Understand,Train
Your,Bird
Your,Bird
Your,good
Your,Chair
Your,Chair
Your,Bird
Your,Chair
Your,Bird
Your,Chair
Your,Bird
Your,Chair
Your,Afternoon
Your,Afternoon
Your,Bird
Your,Train
Your,Train
Your,Bird
Your,Office
Your,Bird
Your,Afternoon
Talk?,Train
Talk?,Train
Talk?,Pant
Talk?,Train
Talk?,Train
Talk?,Train
Talk?,Train
Talk?,Street_or_Road
Talk?,Train
Talk?,Suit
Talk?,Train
Talk?,Train
Talk?,Train
Talk?,Train
Talk?,Train
Talk?,Train
Talk?,Train
Talk?,Train
Talk?,Train
Talk?,Train
No,Chair
No,fast
No,Chair
No,Morning
No,fast
No,Street_or_Road
No,fast
No,fast
No,fast
No,Chair
No,War
No,War
No,Chair
No,Morning
No,Chair
No,Street_or_Road
No,Hospital
No,Bird
No,Chair
No,Bird
School,Suit
School,Bird
School,Science
School,Chair
School,Chair
School,Chair
School,Bird
School,Chair
School,Bird
School,Chair
School,tall
School,Chair
School,Science
School,Suit
School,Paint
School,Chair
School,Bed
School,Chair
School,Suit
School,tall
Exam,Chair
Exam,Afternoon
Exam,old
Exam,Train
Exam,Chair
Exam,Train
Exam,Chair
Exam,Afternoon
Exam,Train
Exam,Train
Exam,Train
Exam,Train
Exam,Chair
Exam,Chair
Exam,Train
Exam,Bed
Exam,Afternoon
Exam,Train
Exam,Bed
Exam,Afternoon
Can?,Afternoon
Can?,Attack
Can?,Afternoon
Can?,Afternoon
Can?,Afternoon
Can?,Afternoon
Can?,Afternoon
Can?,tall
Can?,Afternoon
Can?,Afternoon
Can?,Attack
Can?,Afternoon
Can?,Afternoon
Can?,Attack
Can?,Afternoon
Can?,Afternoon
Can?,Afternoon
Can?,Attack
Can?,Afternoon
Can?,Afternoon
It,Chair
It,fast
It,Bathroom
It,Bathroom
It,Chair
It,Bathroom
It,Chair
It,Bathroom
It,fast
It,Chair
It,fast
It,Bathroom
It,Chair
It,Chair
It,Second
It,Chair
It,fast
It,Chair
It,Bathroom
It,Bathroom
Little,Suit
Little,Chair
Little,Chair
Little,Chair
Little,Chair
Little,Chair
Little,Chair
Little,Suit
Little,happy
Little,Chair
Little,Chair
Little,Chair
Little,Chair
Little,Chair
Little,Bathroom
Little,Chair
Little,Chair
Little,Suit
Little,Suit
Little,Chair
Do,Street_or_Road
Do,happy
Do,Chair
Do,Street_or_Road
Do,Chair
Do,Chair
Do,Chair
Do,Suit
Do,Chair
Do,happy
Do,Chair
Do,Fall
Do,Chair
Do,Chair
Do,Street_or_Road
Do,Street_or_Road
Do,Fall
Do,Chair
Do,Street_or_Road
Do,Chair
Tell,Marriage
Tell,Waiter
Tell,Chair
Tell,Chair
Tell,Bed
Tell,Morning
Tell,Marriage
Tell,happy
Tell,Chair
Tell,fast
Tell,Chair
Tell,Marriage
Tell,Chair
Tell,Chair
Tell,fast
Tell,happy
Tell,Morning
Tell,Chair
Tell,fast
Tell,Chair
Good,Chair
Good,wide
Good,Bird
Good,happy
Good,Bird
Good,wide
Good,wide
Good,Bird
Good,wide
Good,wide
Good,wide
Good,wide
Good,Bird
Good,wide
Good,Bird
Good,wide
Good,wide
Good,wide
Good,Bird
Good,wide
Go,War
Go,War
Go,T-Shirt
Go,War
Go,War
Go,War
Go,War
Go,War
Go,T-Shirt
Go,War
Go,War
Go,War
Go,War
Go,War
Go,War
Go,War
Go,War
Go,War
Go,War
Go,War
How,happy
How,Chair
How,Hospital
How,Train
How,happy
How,happy
How,Pleased
How,Chair
How,Ball
How,Hospital
How,Pleased
How,happy
How,hot
How,Chair
How,Hospital
How,Fall
How,Fall
How,Pleased
How,Waiter
How,hot
w064,T-Shirt
w064,Bird
w064,War
w064,T-Shirt
w064,War
w064,happy
w064,Bird
w064,War
w064,War
w064,T-Shirt
w064,War
w064,Bird
w064,T-Shirt
w064,Chair
w064,Bird
w064,War
w064,T-Shirt
w064,happy
w064,happy
w064,War
Talk,Attack
Talk,Chair
Talk,Attack
Talk,Afternoon
Talk,Chair
Talk,Child
Talk,Attack
Talk,Chair
Talk,Chair
Talk,Chair
Talk,Chair
Talk,Chair
Talk,Chair
Talk,Chair
Talk,Attack
Talk,Train
Talk,Chair
Talk,Fan
Talk,Chair
Talk,Chair
See,Train
See,Train
See,Train
See,Pleased
See,Pleased
See,Pleased
See,Train
See,Train
See,Pleased
See,Train
See,Train
See,Pleased
See,Train
See,Pleased
See,Train
See,Train
See,Train
See,Pleased
See,Train
See,Train
Report,Waiter
Report,Suit
Report,Bird
Report,Suit
Report,Actor
Report,Chair
Report,Chair
Report,tall
Report,fast
Report,Suit
Report,Bird
Report,Waiter
Report,Chair
Report,Bird
Report,Chair
Report,Bird
Report,Chair
Report,Bird
Report,Chair
Report,tall
House,old
House,Lamp
House,Chair
House,Lamp
House,old
House,Lamp
House,Chair
House,Afternoon
House,Afternoon
House,old
House,Afternoon
House,old
House,old
House,Chair
House,old
House,old
House,Chair
House,Chair
House,Chair
House,Afternoon
Make,Animal
Make,Patient
Make,Fish
Make,I
Make,Fish
Make,I
Make,Patient
Make,I
Make,Street_or_Road
Make,Sport
Make,Patient
Make,Fish
Make,Patient
Make,we
Make,Animal
Make,Fish
Make,I
Make,I
Make,Pleased
Make,Patient
Me,Chair
Me,Kitchen
Me,Kitchen
Me,Chair
Me,Patient
Me,Patient
Me,Patient
Me,Kitchen
Me,Chair
Me,Mouse
Me,Chair
Me,Chair
Me,Laptop
Me,Kitchen
Me,Chair
Me,Train
Me,Chair
Me,Kitchen
Me,Chair
Me,Chair
Relationship,Pencil
Relationship,Chair
Relationship,Chair
Relationship,Chair
Relationship,Chair
Relationship,Chair
Relationship,Pencil
Relationship,old
Relationship,Chair
Relationship,Chair
Relationship,tall
Relationship,War
Relationship,Chair
Relationship,Chair
Relationship,Attack
Relationship,Yellow
Relationship,Pencil
Relationship,old
Relationship,Attack
Relationship,Chair
Age,Fish
Age,Fish
Age,Paint
Age,Bird
Age,Bird
Age,Bird
Age,Fish
Age,Bird
Age,Fish
Age,Animal
Age,Technology
Age,Bird
Age,Animal
Age,Radio
Age,Fish
Age,Animal
Age,Paint
Age,Fish
Age,Bird
Age,Animal
Big,Sport
Big,Sport
Big,Paint
Big,God
Big,Sport
Big,healthy
Big,Paint
Big,Sport
Big,Radio
Big,healthy
Big,Paper
Big,Year
Big,Paint
Big,Year
Big,Bird
Big,Sport
Big,Paint
Big,Radio
Big,Neighbour
Big,Radio
What,Chair
What,Bathroom
What,Chair
What,Chair
What,fast
What,Train
What,fast
What,happy
What,Bathroom
What,Chair
What,Train
What,Chair
What,Chair
What,Chair
What,Key
What,Chair
What,Chair
What,Chair
What,Chair
What,Train
Tuesday,Paper
Tuesday,Science
Tuesday,Bird
Tuesday,Actor
Tuesday,Exercise
Tuesday,Exercise
Tuesday,wide
Tuesday,Actor
Tuesday,Paper
Tuesday,Exercise
Tuesday,Paper
Tuesday,Actor
Tuesday,Bird
Tuesday,Bird
Tuesday,Bird
Tuesday,Bird
Tuesday,Actor
Tuesday,Exercise
Tuesday,Bird
Tuesday,Actor
Teach,Bird
Teach,Chair
Teach,Bird
Teach,Bird
Teach,Chair
Teach,Suit
Teach,Chair
Teach,Chair
Teach,Chair
Teach,Bird
Teach,tall
Teach,tall
Teach,tall
Teach,Chair
Teach,Afternoon
Teach,Waiter
Teach,Chair
Teach,Bird
Teach,Train
Teach,Chair
University,Lamp
University,Chair
University,old
University,old
University,Lamp
University,Chair
University,old
University,tall
University,tall
University,low
University,Chair
University,Afternoon
University,tall
University,tall
University,Afternoon
University,low
University,tall
University,Afternoon
University,old
University,Chair
Video,Year
Video,hot
Video,Pleased
Video,Train
Video,T-Shirt
Video,Year
Video,Pleased
Video,fast
Video,Year
Video,Year
Video,T-Shirt
Video,hot
Video,Year
Video,Pleased
Video,T-Shirt
Video,Year
Video,Paint
Video,Paint
Video,Year
Video,Year
How_many,Bird
How_many,Chair
How_many,Chair
How_many,Chair
How_many,Chair
How_many,Chair
How_many,Chair
How_many,Chair
How_many,Bed
How_many,fast
How_many,Chair
How_many,Chair
How_many,Bed
How_many,fast
How_many,Chair
How_many,Bird
How_many,Chair
How_many,Bed
How_many,Bed
How_many,Chair
Write,Bathroom
Write,Bed
Write,I
Write,Bathroom
Write,Chair
Write,Chair
Write,Chair
Write,fast
Write,Hospital
Write,Hospital
Write,Train
Write,Bathroom
Write,Bathroom
Write,Hospital
Write,Kitchen
Write,Chair
Write,Kitchen
Write,Train
Write,Chair
Write,White
Sorry,Chair
Sorry,Chair
Sorry,old
Sorry,new
Sorry,War
Sorry,Morning
Sorry,Ball
Sorry,Morning
Sorry,Ball
Sorry,Train
Sorry,Morning
Sorry,happy
Sorry,happy
Sorry,happy
Sorry,Chair
Sorry,new
Sorry,Morning
Sorry,War
Sorry,new
Sorry,War
Ten_People,Bed
Ten_People,old
Ten_People,Chair
Ten_People,Bed
Ten_People,Brother
Ten_People,Chair
Ten_People,Crowd
Ten_People,Chair
Ten_People,Train
Ten_People,Train
Ten_People,female
Ten_People,Train
Ten_People,Bed
Ten_People,Chair
Ten_People,low
Ten_People,Chair
Ten_People,Chair
Ten_People,Bed
Ten_People,happy
Ten_People,Train
Holiday,old
Holiday,Chair
Holiday,Train
Holiday,old
Holiday,Chair
Holiday,Chair
Holiday,Chair
Holiday,Train
Holiday,Chair
Holiday,Chair
Holiday,old
Holiday,Train
Holiday,old
Holiday,Chair
Holiday,Chair
Holiday,Chair
Holiday,Chair
Holiday,Train
Holiday,new
Holiday,Train
Today,Train
Today,Chair
Today,Chair
Today,Chair
Today,Kitchen
Today,Train
Today,fast
Today,Chair
Today,Train
Today,Chair
Today,Train
Today,Train
Today,fast
Today,happy
Today,Chair
Today,Train
Today,Pleased
Today,Pleased
Today,Chair
Today,Chair
Learn?,Kitchen
Learn?,Chair
Learn?,Chair
Learn?,Chair
Learn?,Suit
Learn?,fast
Learn?,Waiter
Learn?,Pleased
Learn?,Street_or_Road
Learn?,Street_or_Road
Learn?,happy
Learn?,Street_or_Road
Learn?,Pleased
Learn?,Street_or_Road
Learn?,happy
Learn?,Laptop
Learn?,Chair
Learn?,Bed
Learn?,happy
Learn?,happy
Yes,Chair
Yes,Chair
Yes,Chair
Yes,Train
Yes,Chair
Yes,Chair
Yes,narrow
Yes,Chair
Yes,Train
Yes,Afternoon
Yes,Train
Yes,Afternoon
Yes,Chair
Yes,Afternoon
Yes,Afternoon
Yes,Afternoon
Yes,Chair
Yes,Afternoon
Yes,Afternoon
Yes,Chair
Class,Chair
Class,Chair
Class,Chair
Class,King
Class,Afternoon
Class,old
Class,Chair
Class,Chair
Class,old
Class,old
Class,Afternoon
Class,Lamp
Class,Chair
Class,Chair
Class,King
Class,Chair
Class,Chair
Class,Chair
Class,Lamp
Class,Chair
English,Animal
English,Animal
English,cold
English,T-Shirt
English,Animal
English,Animal
English,Letter
English,Animal
English,Animal
English,Animal
English,Bird
English,Animal
English,Patient
English,Animal
English,Shirt
English,Animal
English,cold
English,Science
English,Animal
English,Animal
Twenty,Chair
Twenty,Pencil
Twenty,Pleased
Twenty,Chair
Twenty,Pleased
Twenty,Chair
Twenty,Chair
Twenty,Pleased
Twenty,War
Twenty,Chair
Twenty,fast
Twenty,Kitchen
Twenty,Chair
Twenty,Chair
Twenty,Bird
Twenty,Chair
Twenty,Pleased
Twenty,Chair
Twenty,War
Twenty,Chair
Learn,Animal
Learn,Husband
Learn,Animal
Learn,Soap
Learn,Brother
Learn,Soap
Learn,Animal
Learn,Brother
Learn,I
Learn,Soap
Learn,Brother
Learn,Tool
Learn,Car
Learn,Brother
Learn,Animal
Learn,Soap
Learn,Soap
Learn,Car
Learn,Brother
Learn,Car
Sinhala,Science
Sinhala,Chair
Sinhala,Chair
Sinhala,Science
Sinhala,Science
Sinhala,Bird
Sinhala,Science
Sinhala,Paint
Sinhala,Science
Sinhala,Bird
Sinhala,Science
Sinhala,Bird
Sinhala,Science
Sinhala,wide
Sinhala,Bird
Sinhala,Science
Sinhala,Science
Sinhala,Science
Sinhala,wide
Sinhala,Science
Stay?,Pleased
Stay?,Pleased
Stay?,Chair
Stay?,Chair
Stay?,Pencil
Stay?,fast
Stay?,Bed
Stay?,Sign
Stay?,Chair
Stay?,Bathroom
Stay?,Sign
Stay?,fast
Stay?,Pleased
Stay?,fast
Stay?,Pleased
Stay?,Chair
Stay?,Chair
Stay?,Sign
Stay?,Bird
Stay?,Child
See?,Bird
See?,Kitchen
See?,Kitchen
See?,Suit
See?,fast
See?,Bed
See?,University
See?,Key
See?,Bird
See?,Chair
See?,University
See?,fast
See?,Bird
See?,Sign
See?,Sign
See?,Chair
See?,Kitchen
See?,Child
See?,Chair
See?,Chair
Read,Bird
Read,big_large
Read,Bird
Read,Bird
Read,Bird
Read,Bird
Read,Bird
Read,big_large
Read,Bird
Read,wide
Read,Bird
Read,Bird
Read,Bird
Read,Radio
Read,big_large
Read,Bird
Read,Bird
Read,wide
Read,wide
Read,Bird
Children,God
Children,Newspaper
Children,God
Children,Sport
Children,Card
Children,God
Children,God
Children,God
Children,God
Children,Card
Children,Newspaper
Children,Newspaper
Children,Newspaper
Children,Card
Children,Newspaper
Children,God
Children,Newspaper
Children,Card
Children,Newspaper
Children,Newspaper
Hello,I
Hello,I
Hello,Animal
Hello,I
Hello,Paper
Hello,Fish
Hello,I
Hello,Animal
Hello,I
Hello,Paper
Hello,Paper
Hello,Animal
Hello,Animal
Hello,Animal
Hello,I
Hello,I
Hello,Animal
Hello,Paper
Hello,Fish
Hello,Fish
My,healthy
My,Animal
My,Chair
My,happy
My,Chair
My,Box
My,Good_night
My,Paint
My,Box
My,Ball
My,Animal
My,God
My,Chair
My,Sport
My,happy
My,Animal
My,Neighbour
My,God
My,Sport
My,God
Start,Pocket
Start,Animal
Start,Colour
Start,I
Start,Fish
Start,Fish
Start,Patient
Start,Fish
Start,Sport
Start,Fish
Start,Fish
Start,Soap
Start,Animal
Start,Fish
Start,Animal
Start,Patient
Start,Animal
Start,Fish
Start,I
Start,Fish
Again,Sign
Again,Kitchen
Again,Pencil
Again,Kitchen
Again,Door
Again,Pencil
Again,War
Again,Kitchen
Again,Bathroom
Again,Bathroom
Again,Bathroom
Again,Pencil
Again,fast
Again,Sign
Again,War
Again,War
Again,Chair
Again,War
Again,War
Again,Pencil
Still,new
Still,Train
Still,new
Still,new
Still,Train
Still,new
Still,new
Still,Train
Still,new
Still,Train
Still,new
Still,Train
Still,new
Still,new
Still,Train
Still,new
Still,new
Still,Train
Still,new
Still,Train
